Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-07-08,47.6913,48.0048,47.3428,47.517,622885.47362691
2020-07-09,47.9356,48.284,47.4299,47.9526,466320.97482544
2020-07-10,47.517,48.5634,47.0635,48.5634,632396.22943
2020-07-13,48.8247,49.2262,48.6326,48.7026,610201.49679377
2020-07-14,48.3892,48.8077,47.4119,47.9526,944804.85018857
2020-07-15,48.0398,49.6439,47.9706,49.4175,1251266.7433957
2020-07-16,49.2603,49.2603,48.4933,49.0861,637635.94106771
2020-07-17,49.0861,49.0861,47.8485,48.284,533151.23654032
2020-07-20,48.0577,48.8769,47.6212,48.7376,595297.37865047
2020-07-21,49.3475,51.353,48.999,50.0103,2039716.4160297
2020-07-22,50.0103,50.2896,48.6505,48.6505,784831.08724884
2020-07-23,48.9119,49.051,47.3949,47.7263,1067402.5230377
2020-07-24,47.6042,47.8485,47.1156,47.8485,415678.59400743
2020-07-27,47.9006,48.1269,46.0872,46.6099,1019618.2679685
2020-07-28,46.7321,47.1856,46.1222,46.6099,595986.57998998
2020-07-29,46.5228,46.6971,45.93,46.2965,733271.25585933
2020-07-30,46.2965,46.4878,44.1338,44.396,1072900.5460014
2020-07-31,44.6394,45.0579,44.0466,44.0996,866447.44555291
2020-08-03,44.1167,44.9358,43.7332,44.3609,515537.07629626
2020-08-04,44.9358,45.6336,44.7445,45.4765,587589.23507464
2020-08-05,48.7376,48.8247,46.3656,46.4707,1272260.1056841
2020-08-06,46.8542,47.6042,45.5986,46.0172,751560.14310136
2020-08-07,46.2615,46.4186,45.4415,46.2785,719488.34247998
2020-08-10,46.2965,47.552,46.2093,47.2898,729824.13575088
2020-08-11,47.447,49.4346,47.2557,49.4346,1229758.9852772
2020-08-12,49.2953,50.0623,48.3892,49.3133,868107.54118653
2020-08-13,49.3475,49.6969,48.8597,49.0861,549800.06954471
2020-08-14,48.9119,49.3304,48.0927,49.3304,284352.89320928
2020-08-17,49.2433,49.5917,48.267,48.9639,403102.6180304
2020-08-18,48.6155,48.7897,47.3078,47.6392,702570.06404076
2020-08-19,47.6392,48.214,46.7842,46.8372,532236.0127906
2020-08-20,46.6629,47.1686,45.8599,45.9651,695943.04243692
2020-08-21,46.4006,46.7842,45.9651,46.2965,643231.94418949
2020-08-24,46.7842,47.5692,46.4707,47.4299,411415.34371827
2020-08-25,47.8305,48.1269,46.8713,47.0805,326398.62856304
2020-08-26,47.0805,48.0227,46.5929,47.0805,565977.92974359
2020-08-27,46.9063,47.1856,46.5929,47.0635,325609.22024363
2020-08-28,46.6449,48.0927,46.6449,46.9763,447497.6503573
2020-08-31,47.0805,47.2898,45.3543,45.5986,971688.15607308
2020-09-01,45.93,45.93,43.8724,44.3781,1346571.3751537
2020-09-02,44.7265,45.0409,43.9595,44.4652,844612.34463342
2020-09-03,44.4652,45.1801,44.2388,44.3259,1219301.8302196
2020-09-04,43.9425,44.5352,43.7852,44.3781,1082384.5799432
2020-09-07,44.8837,45.0238,44.1688,44.4652,384407.33581434
2020-09-08,44.4652,45.3022,42.783,43.3927,879285.07308857
2020-09-09,43.5059,44.7966,43.3407,44.3431,762679.77763723
2020-09-10,44.4652,45.0929,43.8724,44.7966,671537.07577764
2020-09-11,44.8837,45.5986,44.5702,45.2151,772749.46570596
2020-09-14,45.3372,45.7558,44.7445,45.4945,917899.27608631
2020-09-15,45.3543,45.5986,44.7445,45.2322,641174.36086895
2020-09-16,45.3372,45.3372,43.9945,44.4652,793816.31311291
2020-09-17,43.8553,44.7966,43.585,44.7265,635716.42069724
2020-09-18,44.7265,44.7265,43.8374,44.0466,1441477.4058138
2020-09-21,43.8203,44.2739,42.1201,42.3114,1608708.3809199
2020-09-22,42.6348,42.9743,41.7186,42.2854,425086.91600885
2020-09-23,42.8521,42.9311,41.9369,42.2854,754275.75225656
2020-09-24,41.9809,42.4866,41.6495,42.4165,536698.56362866
2020-09-25,42.4605,42.8521,41.8937,42.1111,1113281.732078
2020-09-28,42.4605,43.7152,42.2854,43.3317,715848.60228796
2020-09-29,43.3317,43.5409,42.8521,43.0614,395382.2269348
2020-09-30,43.0093,44.0996,42.6518,43.8724,700840.9369321
2020-10-01,44.1868,44.1868,43.2095,43.4188,395449.03158807
2020-10-02,43.1575,44.1167,42.9132,43.8024,417166.11095346
2020-10-05,44.0996,45.0759,44.0996,45.0759,1023324.8128138
2020-10-06,45.2672,47.9176,45.1109,47.8655,2295816.5079626
2020-10-07,47.6392,47.8655,46.9593,47.2206,796283.63164014
2020-10-08,47.3078,47.7263,46.2785,46.5749,754858.06615085
2020-10-09,46.4707,46.4707,45.5115,45.8259,824654.45447067
2020-10-12,45.7908,46.4707,45.1801,45.3893,510174.8894609
2020-10-13,45.7208,45.7208,43.4889,43.6982,1408308.895468
2020-10-14,43.8024,44.8666,43.6461,44.0646,915755.96012741
2020-10-15,43.8203,44.0296,41.6666,41.8408,1216286.7135356
2020-10-16,42.0241,42.2773,40.8905,42.0851,1186774.6445451
2020-10-19,42.2943,43.0874,41.257,41.6055,931220.12394724
2020-10-20,41.3702,41.7277,40.455,41.4923,1162974.3734087
2020-10-21,41.6145,41.6405,40.8385,40.8905,966096.60659484
2020-10-22,40.8555,41.4312,40.2807,41.0648,1210233.0985389
2020-10-23,41.2391,42.5737,41.2391,41.8498,2126485.6399223
2020-10-26,41.3352,42.0241,41.2921,41.7447,449915.97880547
2020-10-27,41.7537,42.4776,39.9753,40.1496,973294.80798409
2020-10-28,39.7661,39.8012,37.0636,37.4902,2024108.6222054
2020-10-29,37.5342,37.6563,35.5727,36.7142,2170760.4238733
2020-10-30,36.2696,37.0025,36.0954,36.8543,1245494.8213537
2020-11-02,37.0636,38.2051,36.7061,37.9698,1185522.0572964
